Duration (in seconds),Q66_1,catch1,catch2,rehearse_question,rehearse_question_2_TEXT,conversation_focus,earworms,convo_memory_friend,convo_memory_friend_1_TEXT,convo_memory_self,convo_memory_self_1_TEXT,hearing_conversation,hearing_conversation_1_TEXT,sing_along,sing_along_thinking,other_voice_quality,other_voice_quality_1_TEXT,thinking_in_ideas,thinking_in_ideas_1_TEXT,express_inner_states,stress_IS,narrative_IS,dyslexia,revise_convo,rehearse_convo,exp_type_nodding_off,impulsiveness_1,impulsiveness_2,impulsiveness_3,others_experiences_1,others_experiences_4,others_experiences_5,others_experiences_DO_1,others_experiences_DO_4,others_experiences_DO_5,Q63_95,Q63_96,Q63_97,Q63_98,Q63_100,Q63_101,Q63_102,Q63_103,Q63_105,Q63_106,Q63_108,Q63_109,Q63_111,Q63_112,Q63_115,Factor2_1...68,Q63_116,Q63_117,catch3,VSIQ_DO_Q63_95,VSIQ_DO_Q63_96,VSIQ_DO_Q63_97,VSIQ_DO_Q63_98,VSIQ_DO_Q63_100,VSIQ_DO_Q63_101,VSIQ_DO_Q63_102,VSIQ_DO_Q63_103,VSIQ_DO_Q63_105,VSIQ_DO_Q63_106,VSIQ_DO_Q63_108,VSIQ_DO_Q63_109,VSIQ_DO_Q63_111,VSIQ_DO_Q63_112,VSIQ_DO_Q63_115,VSIQ_DO_Factor2_1,VSIQ_DO_Q63_116,VSIQ_DO_Q63_117,VSIQ_DO_catch3,Q319,Q320,Q321,Q323,education_level,Q325,Q326,comments,source,code,InnerSpeechQuestions_DO_conversation_focus,InnerSpeechQuestions_DO_impulsiveness_1,InnerSpeechQuestions_DO_convo_memory_self,InnerSpeechQuestions_DO_narrative_IS,InnerSpeechQuestions_DO_dyslexia,InnerSpeechQuestions_DO_sing_along_thinking,InnerSpeechQuestions_DO_revise_convo,InnerSpeechQuestions_DO_rehearse_convo,InnerSpeechQuestions_DO_express_inner_states,InnerSpeechQuestions_DO_impulsiveness_3,InnerSpeechQuestions_DO_exp_type_nodding_off,InnerSpeechQuestions_DO_stress_IS,InnerSpeechQuestions_DO_catch2,InnerSpeechQuestions_DO_sing_along,InnerSpeechQuestions_DO_rehearse_question,InnerSpeechQuestions_DO_other_voice_quality,InnerSpeechQuestions_DO_thinking_in_ideas,InnerSpeechQuestions_DO_impulsiveness_2,InnerSpeechQuestions_DO_earworms,InnerSpeechQuestions_DO_convo_memory_friend,InnerSpeechQuestions_DO_catch1,InnerSpeechQuestions_DO_hearing_conversation,worker_id
408,1,1,1,3,-999,3,3,2,-999,4,-999,3,-999,3,3,3,-999,2,-999,4,2,1,3,4,4,1,2,5,2,61,33,14,1,2,3,2,4,3,2,4,4,5,2,4,4,4,2,2,3,4,2,4,4,5,11,3,14,16,1,2,7,18,15,10,4,13,8,9,12,5,17,19,6,1,1,-999,19,3,NA,student,-999,sona,oEOqXyvrTrdBHsfzYVCa,1,20,5,17,2,8,16,10,21,19,15,11,13,7,12,9,3,18,14,4,22,6,ozMU0TCL
386,1,1,1,3,-999,3,2,2,-999,2,-999,3,-999,4,4,4,-999,2,-999,2,1,3,3,3,1,6,2,4,2,74,82,88,2,1,3,3,2,1,1,1,2,3,4,4,3,4,1,2,4,4,4,4,4,5,5,13,10,15,18,12,17,11,2,9,14,4,19,7,1,3,16,8,6,2,1,-999,60,5,electrical engineering,purchasing,none,NA,OETfVgrrTrjxiBfmhcfg,21,20,5,1,10,8,3,2,17,19,13,15,14,7,11,9,12,18,22,4,16,6,e3BB2RMg
654,1,1,1,5,-999,3,2,3,-999,3,-999,3,-999,4,2,3,-999,2,-999,4,2,2,3,3,3,3,1,5,1,60,41,22,1,2,3,4,1,1,1,1,4,2,4,4,4,4,1,1,4,2,1,4,2,5,13,14,17,12,1,5,3,11,19,4,18,10,9,6,16,2,7,15,8,2,1,-999,41,4,Computer Information Systems,Independent contractor,-999,NA,wIQvQtbrTrWhOsuvYXAl,15,18,5,21,2,8,17,1,3,20,22,13,11,7,10,9,12,19,16,4,14,6,0X9nY8Ym
210,1,1,1,3,-999,1,1,2,-999,2,-999,2,-999,3,1,4,-999,2,-999,4,1,2,3,1,1,2,1,3,3,51,49,50,2,3,1,1,3,1,1,1,4,4,1,2,4,4,1,3,1,4,1,1,1,5,18,13,12,5,3,9,15,6,16,2,14,4,17,7,19,10,11,1,8,1,1,-999,41,5,cybersecurity,it support,vastly underpaid. this should have paid 10 dollars minimum,NA,tuvRngDrTrhcUSGEFzzn,22,20,5,11,21,8,10,17,14,18,16,2,12,7,13,9,1,19,15,4,3,6,5WF1GwNy
808,1,1,1,5,-999,3,5,3,-999,4,-999,4,-999,3,2,4,-999,2,-999,3,1,2,3,4,4,5,2,5,1,51,11,83,1,2,3,2,5,2,4,4,4,5,2,5,5,4,4,5,1,5,5,5,5,5,4,3,14,19,10,6,15,11,1,9,12,8,17,2,13,18,16,7,5,1,1,English is my first language,37,2,NA,C-17 Aircraft Mechanic,No further comments.,NA,TCdXyrQrTrQMEkSskexk,15,18,5,2,10,8,1,3,17,19,16,14,21,7,11,9,22,20,13,4,12,6,79p4hVcb
490,1,1,1,2,"I will get the attention of the person I am asking, and then take a second to actually form the question; I guess you could say I mostly want to be acknowledged as the speaker, then just wing it.",2,4,4,-999,4,-999,3,-999,4,4,4,-999,1,"Like the question above about asking something in front of an audience.  I have the ""lightbulb"" where there is an idea, but I might not really know what it is when I raise my hand or whatever.  I just know the lightbulb is there.",5,1,3,3,5,5,2,1,4,1,100,87,100,3,1,2,1,5,1,3,1,5,5,1,5,5,5,1,5,1,4,5,5,5,5,11,1,12,6,14,7,17,5,2,18,9,16,13,10,15,3,4,19,8,1,1,"English is my first language, Spanish is my second",48,3,NA,owner and general manager,Thanks for the opportunity.,NA,JkwCjkLrTrwgSBzcOKpb,21,19,5,2,13,8,15,11,10,20,1,3,16,7,14,9,17,18,12,4,22,6,gY67hxD2
187,1,1,1,3,-999,1,4,5,-999,5,-999,3,-999,3,2,4,-999,2,-999,2,1,2,3,2,3,2,1,1,2,66,73,57,1,3,2,5,5,4,5,1,5,5,5,1,3,4,2,2,4,5,5,4,4,5,15,18,17,7,5,12,16,6,1,19,11,9,14,10,13,8,4,3,2,1,1,-999,43,4,IT,dietary aid,-999,NA,RTALSofrTrwwerXibdXV,2,19,5,21,3,8,1,11,10,18,16,15,17,7,14,9,12,20,22,4,13,6,7rrmnKSW
263,1,1,1,4,-999,2,4,4,-999,3,-999,3,-999,3,3,4,-999,2,-999,4,1,2,3,3,3,3,2,4,2,78,80,78,3,1,2,4,3,3,4,1,4,2,4,4,4,4,1,3,4,2,3,4,2,5,15,2,11,9,5,3,17,13,10,6,7,12,14,4,1,16,19,18,8,2,1,-999,61,4,Healthcare,healthcare,-999,NA,JZRQcLIrTrJqniPBSTlF,1,20,5,3,13,8,16,21,22,19,15,11,14,7,10,9,2,18,17,4,12,6,05Wo9IGy
236,1,1,1,5,-999,3,4,4,-999,5,-999,4,-999,4,2,4,-999,2,-999,2,3,3,3,5,3,4,4,4,2,75,60,52,2,1,3,4,4,4,2,4,4,2,4,5,4,5,1,5,4,2,4,5,4,5,1,9,8,16,5,2,7,10,12,17,11,13,15,6,19,4,18,3,14,1,1,-999,47,3,NA,Senior POS Technician (IT / Technical Support),Thanks for the HIT!  I did my best and hope the data is useful!,NA,vXQMvfjrTrRacrvqmVMt,14,20,5,11,2,8,15,17,1,19,3,22,12,7,21,9,10,18,13,4,16,6,qFEgGDhX
337,1,1,1,5,-999,3,4,4,-999,4,-999,4,-999,4,5,4,-999,2,-999,5,1,2,3,5,4,5,3,5,2,61,65,76,2,1,3,1,5,4,2,3,5,5,1,5,5,5,4,5,1,5,4,5,5,5,14,11,6,17,8,2,18,10,19,16,5,1,4,7,13,12,9,3,15,2,1,-999,47,5,Business,Advertising Sales Representative,-999,NA,RLtmhyXrTrhZHwrypSqP,1,18,5,3,17,8,10,12,14,20,22,13,11,7,15,9,21,19,16,4,2,6,2Ie4vXKm
668,1,1,1,5,-999,2,5,4,-999,4,-999,3,-999,3,4,4,-999,2,-999,4,1,2,3,2,4,5,2,4,1,27,52,50,1,2,3,2,1,1,1,1,2,4,1,4,2,4,1,2,1,4,2,5,4,5,6,1,10,3,15,17,4,2,9,13,8,7,14,11,18,5,19,16,12,2,1,-999,40,5,Computer Science,Computer System Analyst,-999,NA,hpbJyBprTrgmzWknFXrj,12,18,5,1,22,8,17,15,16,19,21,11,14,7,13,9,10,20,2,4,3,6,0EwA9ugv
241,1,1,1,5,-999,4,5,3,-999,4,-999,3,-999,3,2,4,-999,2,-999,4,2,2,3,4,3,1,2,4,2,10,23,16,2,3,1,1,5,4,2,5,5,5,1,5,5,5,2,5,1,4,5,5,4,1,5,12,17,9,11,13,1,3,15,16,8,6,19,4,10,18,7,2,14,2,1,-999,47,3,NA,bookkeeper,-999,NA,GpOySafrTrLNjkoxMDFs,1,20,5,17,22,8,11,16,10,18,12,21,13,7,15,9,14,19,3,4,2,6,XxuTNyUr
203,1,1,1,1,-999,1,5,4,-999,4,-999,3,-999,4,3,4,-999,2,-999,1,1,2,3,2,1,5,1,4,4,33,28,52,1,3,2,3,1,1,3,1,1,4,3,2,1,3,1,1,1,5,3,4,1,5,9,14,3,15,16,11,18,4,2,17,6,7,5,8,19,13,12,1,10,1,1,N/A,44,5,Fine Arts,None of your business,-999,NA,jcUCXCyrTrwPVlXNodKK,10,18,5,2,12,8,13,1,3,19,14,21,22,7,15,9,11,20,17,4,16,6,mHkNNA58
