Verbal;Visual;Manipulation;Orthographic;Catch;workerId;VerbalScored;VisualScored;ManipulationScored;OrthographicScored
50;41;31;23;2;1012;416.666.666.666.667;5;6.25;833.333.333.333.333
50;41;34;16;2;1013;416.666.666.666.667;5;6.25;833.333.333.333.333
50;38;31;14;2;1014;416.666.666.666.667;5;6.25;833.333.333.333.333
50;34;25;10;2;1015;416.666.666.666.667;5;6.25;833.333.333.333.333
51;41;34;17;2;1016;4.25;5.1;6.375;8.5
51;41;28;16;2;1017;4.25;5.1;6.375;8.5
51;37;25;11;2;1018;4.25;5.1;6.375;8.5
52;40;25;14;2;1019;433.333.333.333.333;5.2;6.5;866.666.666.666.667
52;34;13;19;2;1020;433.333.333.333.333;5.2;6.5;866.666.666.666.667
52;32;28;11;2;1021;433.333.333.333.333;5.2;6.5;866.666.666.666.667
53;42;36;18;2;1022;441.666.666.666.667;5.3;6.625;883.333.333.333.333
53;41;36;21;2;1023;441.666.666.666.667;5.3;6.625;883.333.333.333.333
53;32;34;13;2;1024;441.666.666.666.667;5.3;6.625;883.333.333.333.333
54;41;34;25;2;1025;4.5;5.4;6.75;9
54;40;23;17;2;1026;4.5;5.4;6.75;9
54;39;37;10;2;1027;4.5;5.4;6.75;9
54;37;36;16;2;1028;4.5;5.4;6.75;9
54;27;28;19;2;1029;4.5;5.4;6.75;9
55;50;31;27;2;1030;458.333.333.333.333;5.5;6.875;916.666.666.666.667
55;44;38;25;2;1031;458.333.333.333.333;5.5;6.875;916.666.666.666.667
55;39;32;23;2;1032;458.333.333.333.333;5.5;6.875;916.666.666.666.667
56;41;36;26;2;1033;466.666.666.666.667;5.6;7;933.333.333.333.333
56;40;29;23;2;1034;466.666.666.666.667;5.6;7;933.333.333.333.333
57;44;37;28;2;1035;4.75;5.7;7.125;9.5
57;32;34;15;2;1036;4.75;5.7;7.125;9.5
59;39;40;15;2;1037;491.666.666.666.667;5.9;7.375;983.333.333.333.333
