"","VerbalScored","VisualScored","high_low_verbal","worker_id"
"71",1.67,3.3,"low_verbal","UhCBWnbb"
"72",4.92,4.7,"high_verbal",NA
"73",2.25,1.8,"low_verbal","AZihdj82"
"74",2.5,3,"low_verbal",NA
"75",4.92,5,"high_verbal","zfMwhrdi"
"76",2.58,2.9,"low_verbal","rdIExOr9"
"77",2.58,3.5,"low_verbal",NA
"78",2.42,4.6,"low_verbal","HPiIXyO1"
"79",4.67,4.2,"high_verbal","bj3SfFHq"
"80",4.67,4.2,"high_verbal","bj3SfFHq"
"81",4.92,4.8,"high_verbal","yI870PhA"
"82",1.83,1.3,"low_verbal",NA
"83",1.83,1.3,"low_verbal",NA
"84",2.42,2.3,"low_verbal",NA
"85",2.83,3.8,"low_verbal","VxHNyXXR"
"86",2.83,3.8,"low_verbal","VxHNyXXR"
"87",2,3.3,"low_verbal",NA
"88",2,3.3,"low_verbal",NA
"89",5,2.9,"high_verbal",NA
"90",4.67,4.6,"high_verbal","RlmJUu78"
"91",4.67,4.7,"high_verbal","lcQfoynH"
"92",2.58,4.6,"low_verbal","xMXJBD7Y"
"93",1.83,1.4,"low_verbal","3DHBLnqj"
"94",4.75,5,"high_verbal","DuDDHkI9"
"95",4.67,2.9,"high_verbal","OHHIBcMJ"
"96",4.5,3.7,"high_verbal","KPfJRNRo"
"97",4.33333333,3.4,"high_verbal","Ps3HVmAH"
"98",1.5,1.4,"low_verbal","pylKRwzb"
"99",1.5,1.4,"low_verbal","pylKRwzb"
"100",2.42,2.9,"low_verbal",NA
"101",4.16666667,4.2,"high_verbal","26Z3U4Qu"
"102",4.16666667,3.4,"high_verbal","qPOXJpNv"
"103",2.58,2.4,"low_verbal","GJMX4RUC"
"104",1.75,2.9,"low_verbal","mZqk099M"
"105",1.75,1.6,"low_verbal","0CxunTLR"
"106",2.33,2.9,"low_verbal",NA
"107",2.67,3.1,"low_verbal",NA
"108",4.75,4.5,"high_verbal","XWkUpOyp"
"109",2.5,2.7,"low_verbal",NA
"110",1.92,2.6,"low_verbal","Ny0Ml3uz"
"111",4.67,5,"high_verbal",NA
"112",2.17,2,"low_verbal",NA
"113",2.17,2,"low_verbal",NA
"114",2.5,2.7,"low_verbal",NA
"115",4.92,4.8,"high_verbal","3HwZ3aSO"
"116",4.16666667,3.8,"high_verbal","RHqN8QGm"
"117",1.33,3.8,"low_verbal",NA
"118",1.33,3.8,"low_verbal",NA
"119",2.17,2.6,"low_verbal","zzU1ectZ"
"120",2.67,3.2,"low_verbal",NA
"121",2.67,2.9,"low_verbal",NA
"122",4.75,4.8,"high_verbal",NA
"123",2.17,2.7,"low_verbal","7rvMjiCW"
"124",1.92,4.4,"low_verbal","JeMnPabT"
"125",4.25,3.7,"high_verbal","ts7nbQkN"
"126",4.67,4,"high_verbal",NA
"127",1,4,"low_verbal","CPt18YMj"
"128",5,5,"high_verbal",NA
"129",4.41666667,4.2,"high_verbal","Qy5J1Mxs"
"130",2.17,3.9,"low_verbal","vhsbIoXa"
"131",2.17,3.9,"low_verbal","vhsbIoXa"
"132",5,4.8,"high_verbal","m6nAacjH"
"133",1.08,2.4,"low_verbal","LyXqRZhM"
"134",4.25,4.1,"high_verbal","sZLRQDIR"
"135",1.75,3.9,"low_verbal","Xa9ISMwC"
"136",1.75,3.9,"low_verbal","Xa9ISMwC"
"137",4.33333333,4,"high_verbal","duTSHxzu"
"138",2.67,2.9,"low_verbal",NA
"139",4.67,4,"high_verbal",NA
"140",4.92,4.4,"high_verbal",NA
"141",5,4.1,"high_verbal","AvRdAeDp"
"142",5,1.1,"high_verbal",NA
"143",4.66666667,4.1,"high_verbal","NCar5SZo"
"144",4.83,3.6,"high_verbal",NA
"145",4.83,4.2,"high_verbal","4ELANfYv"
"146",1,1,"low_verbal",NA
"147",1.58,3.3,"low_verbal",NA
"148",1.58,3.3,"low_verbal",NA
"149",4.66666667,4,"high_verbal","LpHjkqKd"
"150",4.16666667,4.1,"high_verbal","c8Txd3Z5"
