"","worker_id","dyslexia","gender","first_lang","age","education_level","rehearse_question","conversation_focus","earworms","convo_memory_friend","convo_memory_self","hearing_conversation","sing_along","sing_along_thinking","other_voice_quality","express_inner_states","thinking_in_ideas","stress_IS","narrative_IS","revise_convo","rehearse_convo","exp_type_nodding_off","VerbalScored","VisualScored","high_low_verbal","visq_cond_1","visq_dial_1","visq_other_voi_1","visq_other_voi_2","visq_other_voi_3","visq_dial_2","visq_cond_2_rev","visq_cond_3","visq_eval_1","visq_dial_3","visq_eval_2","visq_other_voi_4","visq_dial_4","visq_cond_4","visq_cond_5_rev","visq_other_voi_5","visq_eval_3","visq_eval_4","others_experiences_1","others_experiences_4","others_experiences_5"
"11","4ELANfYv","No, never","Female","Yes",43,"High school diploma","I'm never in a position to ask questions in front of an audience","Rarely","Multiple times a day","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","It's just like I'm hearing the conversation again.","Yes - definitely","Exactly like regular thinking","I hear what they say in their voice.","Strongly disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Sometimes","An even mix of verbal, visual, sensory, and emotional",4.83,4.2,"high_verbal","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Somewhat disagree","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6",70,32,62
"12","4FubSY7J","No, never","Female","Yes",19,"Some college, no degree","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","A few times a week","I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match","I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match","It's just like I'm hearing the conversation again.","Yes - definitely","Mostly different from regular thinking","I hear what they say in their voice.","Agree","More like a conversation","Maybe a little","It's exactly like real life","Very often","Very often","An even mix of verbal, visual, sensory, and emotional",4.83333333333333,4.6,"high_verbal","Somewhat disagree","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10",92,92,93
"13","4KFmznfv","No, never","Female","Yes",20,"Some college, no degree","I rehearse in my mind some of what I am going to ask before asking it","Rarely","A few times a month","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly similar to regular thinking","I hear what they say in their voice.","Disagree","More like ""thinking in ideas"". Can you elaborate or give an example of what this means to you?","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Rarely","Primarily visual (you ""see"" situations, objects, people etc. in your mind)",3.08333333333333,3.2,"low_verbal","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9",19,49,96
"14","5WF1GwNy","No, never","Male","Yes",41,"Bachelor's degree","I think of a question I want to ask and just ask it","Never","Never","I remember the topic, but can't remember any of the specifics.","I remember the topic, but can't remember any of the specifics.","I hear something but I can't describe it.","Yes - somewhat","Not at all","I hear what they say in their voice.","Disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Never","Never","Primarily visual (you ""see"" situations, objects, people etc. in your mind)",1.33,1.9,"low_verbal","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8",51,49,50
"15","79p4hVcb","No, never","Male","Yes",37,"High school diploma","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","Multiple times a day","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","It's just like I'm hearing the conversation again.","Yes - somewhat","Mostly different from regular thinking","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Often","Often","An even mix of verbal, visual, sensory, and emotional",4.5,4.1,"high_verbal","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6",51,11,83
"16","7eDZS0g9","No, never","Female","Yes",21,"Some college, no degree","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","A few times a week","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear something but I can't describe it.","Yes - definitely","Exactly like regular thinking","I hear what they say in their voice.","Strongly agree","More like a conversation","Maybe a little","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Often","Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",4.66666666666667,3.3,"high_verbal","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10",82,81,100
"17","7rrmnKSW","No, never","Male","Yes",43,"Associate's degree","I think of a question I want to ask and just ask it","Never","A few times a week","I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match","I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match","I hear a condensed version (e.g. only some words).","Yes - somewhat","Mostly different from regular thinking","I hear what they say in their voice.","Agree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Rarely","Sometimes","Primarily visual (you ""see"" situations, objects, people etc. in your mind)",2.92,4.2,"low_verbal","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10",66,73,57
"18","7rvMjiCW","No, never","Male","Yes",50,"Some college, no degree","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Mostly similar to regular thinking","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It's just for the viewer/reader's benefit","Often","Often","My inner experience in that situation doesn't have a specific ""format""",2.17,2.7,"low_verbal","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8",60,24,65
"19","8Mnv01S8","No, never","Male","Yes",19,"High school diploma","I think of a question I want to ask and just ask it","Rarely","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly similar to regular thinking","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Often","Rarely","An even mix of verbal, visual, sensory, and emotional",2.83333333333333,3.2,"low_verbal","Click to write Scale point 10","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 6","Click to write Scale point 8","Somewhat disagree","Somewhat disagree","Click to write Scale point 8",69,84,85
"20","8yyEgSuX","No, never","Male","No",20,"Bachelor's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","A few times a week","I remember the topic, but can't remember any of the specifics.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Neutral","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It's just for the viewer/reader's benefit","Rarely","Sometimes","Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",2.75,2.8,"low_verbal","Click to write Scale point 6","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 9","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9",39,30,49
"21","AvRdAeDp","No, never","Female","Yes",42,"Associate's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Neutral","I hear what they say in their voice.","Disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","An even mix of verbal, visual, sensory, and emotional",5,4.1,"high_verbal","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10",66,66,66
"22","AZihdj82","No, never","Male","Yes",39,"Less than high school","I rehearse in my mind the exact phrasing of what I am going to ask","Never","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Mostly similar to regular thinking","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Rarely","Sometimes","An even mix of verbal, visual, sensory, and emotional",2.25,1.8,"low_verbal","Somewhat disagree","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Somewhat disagree","Somewhat disagree","Click to write Scale point 9","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 9",60,30,82
"23","BfCux7Qy","No, never","Female","Yes",18,"High school diploma","I rehearse in my mind the exact phrasing of what I am going to ask","Always","Multiple times a day","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Not at all","I hear what they say in their voice.","Strongly agree","More like a conversation","Yes, very","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Very often","An even mix of verbal, visual, sensory, and emotional",4.75,3.9,"high_verbal","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6",82,61,82
"24","bj3SfFHq","No, never","Male","Yes",59,"Bachelor's degree","I think of a question I want to ask and just ask it","Rarely","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly different from regular thinking","I hear what they say in their voice.","Disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Often","Sometimes","Primarily emotional",4.67,4.2,"high_verbal","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10",79,50,79
"25","c8Txd3Z5","No, never","Male","Yes",26,"High school diploma","I rehearse in my mind some of what I am going to ask before asking it","Sometimes","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but can't remember any of the specifics.","I hear something but I can't describe it.","Yes - somewhat","Mostly similar to regular thinking","I hear what they say but in my own voice.","Disagree","More like a conversation","Maybe a little","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","Primarily about sensory awareness (what you are hearing, smelling, and feeling in the moment)",4.16666667,4.1,"high_verbal","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10",40,44,48
"26","CPt18YMj","No, never","Male","Yes",64,"Associate's degree","I think of a question I want to ask and just ask it","Never","A few times a year","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Exactly like regular thinking","I hear what they say in their voice.","Strongly disagree","More like ""thinking in ideas"". Can you elaborate or give an example of what this means to you?","No, I don't think so","It's just for the viewer/reader's benefit","Rarely","Rarely","Primarily visual (you ""see"" situations, objects, people etc. in your mind)",1,4,"low_verbal","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 8",24,72,50
"27","Ds5BnIYz","Yes, self-diagnosed","Male","Yes",19,"High school diploma","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","A few times a week","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly similar to regular thinking","I hear the words but I can't tell whose voice it is.","Strongly agree","More like a conversation","Maybe a little","It's just for the viewer/reader's benefit","Very often","Very often","Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",2.91666666666667,3.3,"low_verbal","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 6",81,39,100
